episode=59, mum of sent packets=4502, num of received packets=3568, num of lost packets=927, PDR=79.25, actual sim duration=0.29
episode=60, mum of sent packets=4599, num of received packets=3546, num of lost packets=1047, PDR=77.10, actual sim duration=0.30
episode=61, mum of sent packets=4567, num of received packets=3551, num of lost packets=1009, PDR=77.75, actual sim duration=0.30
episode=62, mum of sent packets=4558, num of received packets=3531, num of lost packets=1022, PDR=77.47, actual sim duration=0.29
episode=63, mum of sent packets=4610, num of received packets=3593, num of lost packets=1014, PDR=77.94, actual sim duration=0.30
episode=64, mum of sent packets=4468, num of received packets=3490, num of lost packets=972, PDR=78.11, actual sim duration=0.28
episode=65, mum of sent packets=4590, num of received packets=3597, num of lost packets=991, PDR=78.37, actual sim duration=0.30
episode=66, mum of sent packets=4569, num of received packets=3558, num of lost packets=1010, PDR=77.87, actual sim duration=0.28
episode=67, mum of sent packets=4584, num of received packets=3631, num of lost packets=953, PDR=79.21, actual sim duration=0.29
episode=68, mum of sent packets=4568, num of received packets=3508, num of lost packets=1056, PDR=76.80, actual sim duration=0.28
episode=69, mum of sent packets=4580, num of received packets=3593, num of lost packets=984, PDR=78.45, actual sim duration=0.28
episode=70, mum of sent packets=4551, num of received packets=3528, num of lost packets=1018, PDR=77.52, actual sim duration=0.28
episode=71, mum of sent packets=4567, num of received packets=3532, num of lost packets=1033, PDR=77.34, actual sim duration=0.29
episode=72, mum of sent packets=4673, num of received packets=3690, num of lost packets=980, PDR=78.96, actual sim duration=0.29
episode=73, mum of sent packets=4592, num of received packets=3582, num of lost packets=1005, PDR=78.01, actual sim duration=0.54
episode=74, mum of sent packets=4632, num of received packets=3584, num of lost packets=1045, PDR=77.37, actual sim duration=0.30
episode=75, mum of sent packets=4520, num of received packets=3610, num of lost packets=909, PDR=79.87, actual sim duration=0.28
episode=76, mum of sent packets=4631, num of received packets=3621, num of lost packets=1008, PDR=78.19, actual sim duration=0.29
episode=77, mum of sent packets=4537, num of received packets=3571, num of lost packets=962, PDR=78.71, actual sim duration=0.29
episode=78, mum of sent packets=4554, num of received packets=3576, num of lost packets=974, PDR=78.52, actual sim duration=0.30
episode=79, mum of sent packets=4505, num of received packets=3537, num of lost packets=965, PDR=78.51, actual sim duration=0.29
episode=80, mum of sent packets=4583, num of received packets=3578, num of lost packets=1002, PDR=78.07, actual sim duration=0.30
episode=81, mum of sent packets=4468, num of received packets=3512, num of lost packets=953, PDR=78.60, actual sim duration=0.28
episode=82, mum of sent packets=4448, num of received packets=3460, num of lost packets=983, PDR=77.79, actual sim duration=0.28
episode=83, mum of sent packets=4568, num of received packets=3537, num of lost packets=1029, PDR=77.43, actual sim duration=0.30
episode=84, mum of sent packets=4554, num of received packets=3512, num of lost packets=1039, PDR=77.12, actual sim duration=0.28
episode=85, mum of sent packets=4620, num of received packets=3601, num of lost packets=1013, PDR=77.94, actual sim duration=0.29
episode=86, mum of sent packets=4636, num of received packets=3628, num of lost packets=1006, PDR=78.26, actual sim duration=0.29
episode=87, mum of sent packets=4610, num of received packets=3598, num of lost packets=1008, PDR=78.05, actual sim duration=0.29
episode=88, mum of sent packets=4653, num of received packets=3649, num of lost packets=999, PDR=78.42, actual sim duration=0.29
episode=89, mum of sent packets=4561, num of received packets=3570, num of lost packets=984, PDR=78.27, actual sim duration=0.29
episode=90, mum of sent packets=4568, num of received packets=3497, num of lost packets=1067, PDR=76.55, actual sim duration=0.29
