episode=74, mum of sent packets=74474, num of received packets=48797, num of lost packets=25677, PDR=65.52
episode=75, mum of sent packets=73813, num of received packets=48114, num of lost packets=25699, PDR=65.18
episode=76, mum of sent packets=73436, num of received packets=47365, num of lost packets=26071, PDR=64.50
episode=77, mum of sent packets=73817, num of received packets=47994, num of lost packets=25823, PDR=65.02
episode=78, mum of sent packets=73663, num of received packets=47350, num of lost packets=26313, PDR=64.28
episode=79, mum of sent packets=73928, num of received packets=48515, num of lost packets=25413, PDR=65.62
episode=80, mum of sent packets=73868, num of received packets=47225, num of lost packets=26643, PDR=63.93
episode=81, mum of sent packets=73514, num of received packets=47265, num of lost packets=26249, PDR=64.29
episode=82, mum of sent packets=74211, num of received packets=48297, num of lost packets=25914, PDR=65.08
episode=83, mum of sent packets=73548, num of received packets=47835, num of lost packets=25713, PDR=65.04
episode=84, mum of sent packets=73678, num of received packets=47922, num of lost packets=25756, PDR=65.04
episode=85, mum of sent packets=74436, num of received packets=48831, num of lost packets=25605, PDR=65.60
episode=86, mum of sent packets=73891, num of received packets=47857, num of lost packets=26034, PDR=64.77
episode=87, mum of sent packets=74080, num of received packets=47536, num of lost packets=26544, PDR=64.17
episode=88, mum of sent packets=73403, num of received packets=47506, num of lost packets=25897, PDR=64.72
episode=89, mum of sent packets=73906, num of received packets=48330, num of lost packets=25576, PDR=65.39
episode=90, mum of sent packets=74045, num of received packets=47811, num of lost packets=26234, PDR=64.57
episode=91, mum of sent packets=74154, num of received packets=47907, num of lost packets=26247, PDR=64.60
episode=92, mum of sent packets=74113, num of received packets=48126, num of lost packets=25987, PDR=64.94
episode=93, mum of sent packets=74168, num of received packets=48318, num of lost packets=25850, PDR=65.15
episode=94, mum of sent packets=73637, num of received packets=47332, num of lost packets=26305, PDR=64.28
episode=95, mum of sent packets=73856, num of received packets=47995, num of lost packets=25861, PDR=64.98
episode=96, mum of sent packets=74215, num of received packets=48659, num of lost packets=25556, PDR=65.56
episode=97, mum of sent packets=73529, num of received packets=47897, num of lost packets=25632, PDR=65.14
episode=98, mum of sent packets=74065, num of received packets=48282, num of lost packets=25783, PDR=65.19
episode=99, mum of sent packets=74246, num of received packets=48537, num of lost packets=25709, PDR=65.37
episode=100, mum of sent packets=74543, num of received packets=49423, num of lost packets=25120, PDR=66.30
episode=101, mum of sent packets=73535, num of received packets=47139, num of lost packets=26396, PDR=64.10
episode=102, mum of sent packets=74440, num of received packets=48801, num of lost packets=25639, PDR=65.56
episode=103, mum of sent packets=73652, num of received packets=47629, num of lost packets=26023, PDR=64.67
episode=104, mum of sent packets=74381, num of received packets=48299, num of lost packets=26082, PDR=64.93
episode=105, mum of sent packets=74297, num of received packets=47838, num of lost packets=26459, PDR=64.39
episode=106, mum of sent packets=74029, num of received packets=47687, num of lost packets=26342, PDR=64.42
episode=107, mum of sent packets=73902, num of received packets=47710, num of lost packets=26192, PDR=64.56
episode=108, mum of sent packets=74353, num of received packets=48722, num of lost packets=25631, PDR=65.53
episode=109, mum of sent packets=73876, num of received packets=47448, num of lost packets=26428, PDR=64.23
episode=110, mum of sent packets=73629, num of received packets=47812, num of lost packets=25817, PDR=64.94
episode=111, mum of sent packets=73986, num of received packets=47563, num of lost packets=26423, PDR=64.29
episode=112, mum of sent packets=73659, num of received packets=47679, num of lost packets=25980, PDR=64.73
episode=113, mum of sent packets=73777, num of received packets=47416, num of lost packets=26361, PDR=64.27
episode=114, mum of sent packets=74147, num of received packets=48588, num of lost packets=25559, PDR=65.53
episode=115, mum of sent packets=73698, num of received packets=47242, num of lost packets=26456, PDR=64.10
episode=116, mum of sent packets=74274, num of received packets=48715, num of lost packets=25559, PDR=65.59
episode=117, mum of sent packets=73914, num of received packets=47846, num of lost packets=26068, PDR=64.73
episode=118, mum of sent packets=73459, num of received packets=46594, num of lost packets=26865, PDR=63.43
