episode=59, mum of sent packets=14067, num of received packets=8699, num of lost packets=5367, PDR=61.84, actual sim duration=1.24
episode=60, mum of sent packets=13703, num of received packets=8592, num of lost packets=5108, PDR=62.70, actual sim duration=1.17
episode=61, mum of sent packets=13905, num of received packets=8790, num of lost packets=5113, PDR=63.21, actual sim duration=1.20
episode=62, mum of sent packets=13944, num of received packets=8792, num of lost packets=5149, PDR=63.05, actual sim duration=1.22
episode=63, mum of sent packets=14020, num of received packets=8811, num of lost packets=5202, PDR=62.85, actual sim duration=1.21
episode=64, mum of sent packets=13583, num of received packets=8555, num of lost packets=5025, PDR=62.98, actual sim duration=1.18
episode=65, mum of sent packets=13936, num of received packets=8583, num of lost packets=5345, PDR=61.59, actual sim duration=1.20
episode=66, mum of sent packets=13984, num of received packets=8697, num of lost packets=5282, PDR=62.19, actual sim duration=1.22
episode=67, mum of sent packets=13916, num of received packets=8818, num of lost packets=5094, PDR=63.37, actual sim duration=1.21
episode=68, mum of sent packets=14060, num of received packets=8814, num of lost packets=5240, PDR=62.69, actual sim duration=1.21
episode=69, mum of sent packets=13864, num of received packets=8714, num of lost packets=5147, PDR=62.85, actual sim duration=1.95
episode=70, mum of sent packets=13978, num of received packets=8844, num of lost packets=5130, PDR=63.27, actual sim duration=1.24
episode=71, mum of sent packets=13857, num of received packets=8796, num of lost packets=5057, PDR=63.48, actual sim duration=1.22
episode=72, mum of sent packets=13862, num of received packets=8792, num of lost packets=5067, PDR=63.43, actual sim duration=1.21
episode=73, mum of sent packets=13857, num of received packets=8800, num of lost packets=5054, PDR=63.51, actual sim duration=1.20
episode=74, mum of sent packets=13943, num of received packets=8832, num of lost packets=5106, PDR=63.34, actual sim duration=1.21
episode=75, mum of sent packets=13899, num of received packets=8780, num of lost packets=5114, PDR=63.17, actual sim duration=1.20
episode=76, mum of sent packets=13767, num of received packets=8609, num of lost packets=5152, PDR=62.53, actual sim duration=1.19
episode=77, mum of sent packets=13728, num of received packets=8667, num of lost packets=5056, PDR=63.13, actual sim duration=1.18
episode=78, mum of sent packets=13777, num of received packets=8776, num of lost packets=4996, PDR=63.70, actual sim duration=1.19
episode=79, mum of sent packets=13698, num of received packets=8670, num of lost packets=5023, PDR=63.29, actual sim duration=1.18
episode=80, mum of sent packets=13941, num of received packets=8828, num of lost packets=5109, PDR=63.32, actual sim duration=1.21
episode=81, mum of sent packets=13717, num of received packets=8865, num of lost packets=4846, PDR=64.63, actual sim duration=1.17
episode=82, mum of sent packets=13938, num of received packets=8731, num of lost packets=5203, PDR=62.64, actual sim duration=1.21
episode=83, mum of sent packets=13884, num of received packets=8784, num of lost packets=5093, PDR=63.27, actual sim duration=1.21
episode=84, mum of sent packets=14079, num of received packets=8841, num of lost packets=5236, PDR=62.80, actual sim duration=1.23
episode=85, mum of sent packets=14037, num of received packets=8754, num of lost packets=5279, PDR=62.36, actual sim duration=1.22
episode=86, mum of sent packets=13968, num of received packets=8742, num of lost packets=5221, PDR=62.59, actual sim duration=1.21
episode=87, mum of sent packets=13820, num of received packets=8751, num of lost packets=5065, PDR=63.32, actual sim duration=1.21
episode=88, mum of sent packets=13817, num of received packets=8731, num of lost packets=5080, PDR=63.19, actual sim duration=2.00
episode=89, mum of sent packets=13975, num of received packets=8848, num of lost packets=5123, PDR=63.31, actual sim duration=1.24
episode=90, mum of sent packets=13906, num of received packets=8830, num of lost packets=5074, PDR=63.50, actual sim duration=1.21
episode=91, mum of sent packets=13998, num of received packets=8923, num of lost packets=5070, PDR=63.74, actual sim duration=1.22
episode=92, mum of sent packets=13857, num of received packets=8710, num of lost packets=5146, PDR=62.86, actual sim duration=1.20
episode=93, mum of sent packets=14015, num of received packets=8834, num of lost packets=5175, PDR=63.03, actual sim duration=1.22
episode=94, mum of sent packets=13854, num of received packets=8784, num of lost packets=5061, PDR=63.40, actual sim duration=1.20
episode=95, mum of sent packets=13985, num of received packets=8744, num of lost packets=5236, PDR=62.52, actual sim duration=1.23
episode=96, mum of sent packets=14018, num of received packets=8939, num of lost packets=5073, PDR=63.77, actual sim duration=1.21
episode=97, mum of sent packets=14126, num of received packets=8890, num of lost packets=5231, PDR=62.93, actual sim duration=1.24
episode=98, mum of sent packets=13873, num of received packets=8783, num of lost packets=5088, PDR=63.31, actual sim duration=1.21
episode=99, mum of sent packets=13947, num of received packets=8779, num of lost packets=5165, PDR=62.95, actual sim duration=1.21
episode=100, mum of sent packets=13778, num of received packets=8800, num of lost packets=4974, PDR=63.87, actual sim duration=1.19
