episode=34, mum of sent packets=4610, num of lost packets=powerloss:344+collided:313=657, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=114.77, Jain's Fairness Index=0.25, PDR=85.70
episode=35, mum of sent packets=4599, num of lost packets=powerloss:343+collided:291=634, MinEnergyEfficiency=0.95, MaxEnergyEfficiency=251.26, Jain's Fairness Index=0.12, PDR=86.15
episode=36, mum of sent packets=4551, num of lost packets=powerloss:310+collided:334=644, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=117.75, Jain's Fairness Index=0.21, PDR=85.81
episode=37, mum of sent packets=4575, num of lost packets=powerloss:334+collided:300=634, MinEnergyEfficiency=0.96, MaxEnergyEfficiency=147.54, Jain's Fairness Index=0.19, PDR=86.12
episode=38, mum of sent packets=4632, num of lost packets=powerloss:348+collided:305=653, MinEnergyEfficiency=0.95, MaxEnergyEfficiency=272.34, Jain's Fairness Index=0.12, PDR=85.82
episode=39, mum of sent packets=4645, num of lost packets=powerloss:349+collided:339=688, MinEnergyEfficiency=0.92, MaxEnergyEfficiency=116.28, Jain's Fairness Index=0.23, PDR=85.12
episode=40, mum of sent packets=4686, num of lost packets=powerloss:360+collided:331=691, MinEnergyEfficiency=0.88, MaxEnergyEfficiency=339.15, Jain's Fairness Index=0.10, PDR=85.21
episode=41, mum of sent packets=4636, num of lost packets=powerloss:326+collided:302=628, MinEnergyEfficiency=0.93, MaxEnergyEfficiency=128.06, Jain's Fairness Index=0.20, PDR=86.35
episode=42, mum of sent packets=4646, num of lost packets=powerloss:298+collided:310=608, MinEnergyEfficiency=0.93, MaxEnergyEfficiency=484.71, Jain's Fairness Index=0.07, PDR=86.81
episode=43, mum of sent packets=4732, num of lost packets=powerloss:336+collided:314=650, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=287.47, Jain's Fairness Index=0.11, PDR=86.20
episode=44, mum of sent packets=4742, num of lost packets=powerloss:290+collided:325=615, MinEnergyEfficiency=0.95, MaxEnergyEfficiency=195.11, Jain's Fairness Index=0.15, PDR=86.95
episode=45, mum of sent packets=4652, num of lost packets=powerloss:320+collided:285=605, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=129.36, Jain's Fairness Index=0.20, PDR=86.91
episode=46, mum of sent packets=4722, num of lost packets=powerloss:321+collided:290=611, MinEnergyEfficiency=0.95, MaxEnergyEfficiency=286.29, Jain's Fairness Index=0.11, PDR=87.02
episode=47, mum of sent packets=4694, num of lost packets=powerloss:321+collided:321=642, MinEnergyEfficiency=0.93, MaxEnergyEfficiency=200.68, Jain's Fairness Index=0.15, PDR=86.26
