episode=34, mum of sent packets=4509, num of lost packets=powerloss:333+collided:409=742, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=99.78, Jain's Fairness Index=0.17, PDR=83.46
episode=35, mum of sent packets=4440, num of lost packets=powerloss:295+collided:383=678, MinEnergyEfficiency=0.53, MaxEnergyEfficiency=102.41, Jain's Fairness Index=0.18, PDR=84.64
episode=36, mum of sent packets=4429, num of lost packets=powerloss:337+collided:386=723, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=99.26, Jain's Fairness Index=0.18, PDR=83.52
episode=37, mum of sent packets=4483, num of lost packets=powerloss:289+collided:401=690, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=108.80, Jain's Fairness Index=0.16, PDR=84.52
episode=38, mum of sent packets=4309, num of lost packets=powerloss:332+collided:392=724, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=111.45, Jain's Fairness Index=0.15, PDR=83.06
episode=39, mum of sent packets=4483, num of lost packets=powerloss:323+collided:368=691, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=88.03, Jain's Fairness Index=0.21, PDR=84.47
episode=40, mum of sent packets=4407, num of lost packets=powerloss:338+collided:355=693, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=95.50, Jain's Fairness Index=0.19, PDR=84.12
episode=41, mum of sent packets=4509, num of lost packets=powerloss:319+collided:405=724, MinEnergyEfficiency=0.62, MaxEnergyEfficiency=113.93, Jain's Fairness Index=0.17, PDR=83.81
episode=42, mum of sent packets=4486, num of lost packets=powerloss:336+collided:357=693, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=108.78, Jain's Fairness Index=0.16, PDR=84.49
episode=43, mum of sent packets=4439, num of lost packets=powerloss:340+collided:323=663, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=98.82, Jain's Fairness Index=0.19, PDR=85.00
episode=44, mum of sent packets=4521, num of lost packets=powerloss:340+collided:368=708, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=98.61, Jain's Fairness Index=0.18, PDR=84.27
episode=45, mum of sent packets=4585, num of lost packets=powerloss:348+collided:385=733, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=106.47, Jain's Fairness Index=0.19, PDR=83.95
episode=46, mum of sent packets=4587, num of lost packets=powerloss:346+collided:390=736, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=101.79, Jain's Fairness Index=0.18, PDR=83.78
episode=47, mum of sent packets=4490, num of lost packets=powerloss:334+collided:356=690, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=119.16, Jain's Fairness Index=0.17, PDR=84.50
episode=48, mum of sent packets=4525, num of lost packets=powerloss:366+collided:330=696, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=88.55, Jain's Fairness Index=0.20, PDR=84.53
episode=49, mum of sent packets=4532, num of lost packets=powerloss:345+collided:339=684, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=96.36, Jain's Fairness Index=0.18, PDR=84.71
episode=50, mum of sent packets=4470, num of lost packets=powerloss:352+collided:352=704, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=114.67, Jain's Fairness Index=0.18, PDR=84.07
episode=51, mum of sent packets=4508, num of lost packets=powerloss:337+collided:337=674, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=108.15, Jain's Fairness Index=0.18, PDR=84.94
episode=52, mum of sent packets=4487, num of lost packets=powerloss:306+collided:334=640, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=81.12, Jain's Fairness Index=0.22, PDR=85.60
episode=53, mum of sent packets=4416, num of lost packets=powerloss:337+collided:332=669, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=85.25, Jain's Fairness Index=0.21, PDR=84.74
episode=54, mum of sent packets=4490, num of lost packets=powerloss:335+collided:312=647, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=98.41, Jain's Fairness Index=0.19, PDR=85.43
episode=55, mum of sent packets=4375, num of lost packets=powerloss:320+collided:331=651, MinEnergyEfficiency=0.54, MaxEnergyEfficiency=111.68, Jain's Fairness Index=0.17, PDR=85.03
episode=56, mum of sent packets=4412, num of lost packets=powerloss:330+collided:379=709, MinEnergyEfficiency=0.55, MaxEnergyEfficiency=78.77, Jain's Fairness Index=0.21, PDR=83.82
episode=57, mum of sent packets=4600, num of lost packets=powerloss:365+collided:352=717, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=114.15, Jain's Fairness Index=0.16, PDR=84.30
episode=58, mum of sent packets=4488, num of lost packets=powerloss:326+collided:376=702, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=92.99, Jain's Fairness Index=0.18, PDR=84.31
episode=59, mum of sent packets=4509, num of lost packets=powerloss:284+collided:385=669, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=103.81, Jain's Fairness Index=0.18, PDR=85.05
episode=60, mum of sent packets=4576, num of lost packets=powerloss:374+collided:376=750, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=88.59, Jain's Fairness Index=0.20, PDR=83.48
episode=61, mum of sent packets=4599, num of lost packets=powerloss:319+collided:366=685, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=92.93, Jain's Fairness Index=0.20, PDR=84.95
episode=62, mum of sent packets=4494, num of lost packets=powerloss:334+collided:353=687, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=87.31, Jain's Fairness Index=0.20, PDR=84.65
episode=63, mum of sent packets=4464, num of lost packets=powerloss:319+collided:352=671, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=91.38, Jain's Fairness Index=0.20, PDR=84.95
episode=64, mum of sent packets=4490, num of lost packets=powerloss:325+collided:346=671, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=100.83, Jain's Fairness Index=0.18, PDR=84.83
episode=65, mum of sent packets=4668, num of lost packets=powerloss:312+collided:416=728, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=104.82, Jain's Fairness Index=0.17, PDR=84.17
episode=66, mum of sent packets=4514, num of lost packets=powerloss:335+collided:332=667, MinEnergyEfficiency=0.63, MaxEnergyEfficiency=100.32, Jain's Fairness Index=0.17, PDR=85.18
episode=67, mum of sent packets=4552, num of lost packets=powerloss:370+collided:346=716, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=123.93, Jain's Fairness Index=0.16, PDR=84.16
episode=68, mum of sent packets=4542, num of lost packets=powerloss:341+collided:358=699, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=162.61, Jain's Fairness Index=0.13, PDR=84.52
episode=69, mum of sent packets=4438, num of lost packets=powerloss:285+collided:361=646, MinEnergyEfficiency=0.55, MaxEnergyEfficiency=155.36, Jain's Fairness Index=0.13, PDR=85.26
episode=70, mum of sent packets=4461, num of lost packets=powerloss:307+collided:353=660, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=107.47, Jain's Fairness Index=0.16, PDR=85.12
episode=71, mum of sent packets=4492, num of lost packets=powerloss:333+collided:363=696, MinEnergyEfficiency=0.54, MaxEnergyEfficiency=102.67, Jain's Fairness Index=0.18, PDR=84.37
episode=72, mum of sent packets=4568, num of lost packets=powerloss:357+collided:304=661, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=114.47, Jain's Fairness Index=0.15, PDR=85.46
episode=73, mum of sent packets=4482, num of lost packets=powerloss:308+collided:332=640, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=91.55, Jain's Fairness Index=0.18, PDR=85.59
episode=74, mum of sent packets=4525, num of lost packets=powerloss:314+collided:354=668, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=98.26, Jain's Fairness Index=0.19, PDR=85.13
episode=75, mum of sent packets=4475, num of lost packets=powerloss:330+collided:396=726, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=100.15, Jain's Fairness Index=0.17, PDR=83.55
episode=76, mum of sent packets=4461, num of lost packets=powerloss:317+collided:359=676, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=106.28, Jain's Fairness Index=0.17, PDR=84.71
episode=77, mum of sent packets=4580, num of lost packets=powerloss:336+collided:383=719, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=115.47, Jain's Fairness Index=0.17, PDR=84.21
episode=78, mum of sent packets=4443, num of lost packets=powerloss:307+collided:373=680, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=78.65, Jain's Fairness Index=0.20, PDR=84.56
episode=79, mum of sent packets=4524, num of lost packets=powerloss:341+collided:361=702, MinEnergyEfficiency=0.62, MaxEnergyEfficiency=115.20, Jain's Fairness Index=0.16, PDR=84.37
episode=80, mum of sent packets=4534, num of lost packets=powerloss:325+collided:397=722, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=102.33, Jain's Fairness Index=0.18, PDR=83.97
episode=81, mum of sent packets=4353, num of lost packets=powerloss:286+collided:342=628, MinEnergyEfficiency=0.52, MaxEnergyEfficiency=105.93, Jain's Fairness Index=0.17, PDR=85.44
episode=82, mum of sent packets=4434, num of lost packets=powerloss:309+collided:348=657, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=100.09, Jain's Fairness Index=0.17, PDR=85.09
episode=83, mum of sent packets=4456, num of lost packets=powerloss:295+collided:311=606, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=99.20, Jain's Fairness Index=0.18, PDR=86.29
episode=84, mum of sent packets=4559, num of lost packets=powerloss:356+collided:357=713, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=90.63, Jain's Fairness Index=0.18, PDR=84.21
episode=85, mum of sent packets=4489, num of lost packets=powerloss:284+collided:353=637, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=113.40, Jain's Fairness Index=0.15, PDR=85.68
