episode=0, mum of sent packets=10033, num of received packets=6029, num of lost packets=4004, PDR=60.09, actual sim duration=2.57, parameter update time=0.42
episode=1, mum of sent packets=10084, num of received packets=5877, num of lost packets=4207, PDR=58.28, actual sim duration=2.36, parameter update time=0.21
episode=2, mum of sent packets=10137, num of received packets=6046, num of lost packets=4091, PDR=59.64, actual sim duration=2.32, parameter update time=0.21
episode=3, mum of sent packets=10123, num of received packets=5989, num of lost packets=4134, PDR=59.16, actual sim duration=2.32, parameter update time=0.20
episode=4, mum of sent packets=10019, num of received packets=6027, num of lost packets=3992, PDR=60.16, actual sim duration=2.56, parameter update time=0.20
episode=5, mum of sent packets=10144, num of received packets=6113, num of lost packets=4031, PDR=60.26, actual sim duration=2.23, parameter update time=0.21
episode=6, mum of sent packets=10227, num of received packets=5973, num of lost packets=4254, PDR=58.40, actual sim duration=2.37, parameter update time=0.20
episode=7, mum of sent packets=10341, num of received packets=6219, num of lost packets=4122, PDR=60.14, actual sim duration=2.36, parameter update time=0.20
episode=8, mum of sent packets=10434, num of received packets=6348, num of lost packets=4086, PDR=60.84, actual sim duration=2.50, parameter update time=0.20
episode=9, mum of sent packets=10167, num of received packets=6129, num of lost packets=4038, PDR=60.28, actual sim duration=2.38, parameter update time=0.21
episode=10, mum of sent packets=9864, num of received packets=5716, num of lost packets=4148, PDR=57.95, actual sim duration=2.30, parameter update time=0.21
episode=11, mum of sent packets=10124, num of received packets=5959, num of lost packets=4165, PDR=58.86, actual sim duration=2.37, parameter update time=0.21
episode=12, mum of sent packets=10163, num of received packets=5994, num of lost packets=4169, PDR=58.98, actual sim duration=2.38, parameter update time=0.20
episode=13, mum of sent packets=10176, num of received packets=5962, num of lost packets=4214, PDR=58.59, actual sim duration=2.50, parameter update time=0.20
episode=14, mum of sent packets=9946, num of received packets=5982, num of lost packets=3964, PDR=60.14, actual sim duration=2.37, parameter update time=0.20
episode=15, mum of sent packets=9884, num of received packets=5775, num of lost packets=4109, PDR=58.43, actual sim duration=2.35, parameter update time=0.20
episode=16, mum of sent packets=9920, num of received packets=5885, num of lost packets=4035, PDR=59.32, actual sim duration=2.40, parameter update time=0.20
episode=17, mum of sent packets=10057, num of received packets=6011, num of lost packets=4046, PDR=59.77, actual sim duration=2.24, parameter update time=0.21
episode=18, mum of sent packets=9942, num of received packets=5938, num of lost packets=4004, PDR=59.73, actual sim duration=2.52, parameter update time=0.20
episode=19, mum of sent packets=10145, num of received packets=6094, num of lost packets=4051, PDR=60.07, actual sim duration=2.39, parameter update time=0.21
episode=20, mum of sent packets=9994, num of received packets=5866, num of lost packets=4128, PDR=58.70, actual sim duration=2.35, parameter update time=0.20
episode=21, mum of sent packets=9985, num of received packets=6042, num of lost packets=3943, PDR=60.51, actual sim duration=2.28, parameter update time=0.20
episode=22, mum of sent packets=9949, num of received packets=5843, num of lost packets=4106, PDR=58.73, actual sim duration=2.31, parameter update time=0.20
episode=23, mum of sent packets=9969, num of received packets=6016, num of lost packets=3953, PDR=60.35, actual sim duration=2.37, parameter update time=0.20
episode=24, mum of sent packets=10091, num of received packets=5993, num of lost packets=4098, PDR=59.39, actual sim duration=2.61, parameter update time=0.20
episode=25, mum of sent packets=10209, num of received packets=5912, num of lost packets=4297, PDR=57.91, actual sim duration=2.39, parameter update time=0.20
episode=26, mum of sent packets=10038, num of received packets=5914, num of lost packets=4124, PDR=58.92, actual sim duration=2.29, parameter update time=0.20
episode=27, mum of sent packets=10085, num of received packets=6108, num of lost packets=3977, PDR=60.57, actual sim duration=2.36, parameter update time=0.20
episode=28, mum of sent packets=10233, num of received packets=6097, num of lost packets=4136, PDR=59.58, actual sim duration=2.42, parameter update time=0.20
episode=29, mum of sent packets=10286, num of received packets=6112, num of lost packets=4174, PDR=59.42, actual sim duration=2.38, parameter update time=0.20
episode=30, mum of sent packets=10103, num of received packets=5993, num of lost packets=4110, PDR=59.32, actual sim duration=2.59, parameter update time=0.20
episode=31, mum of sent packets=10187, num of received packets=6081, num of lost packets=4106, PDR=59.69, actual sim duration=2.40, parameter update time=0.20
episode=32, mum of sent packets=10268, num of received packets=6082, num of lost packets=4186, PDR=59.23, actual sim duration=2.33, parameter update time=0.20
