episode=0 PDR=45.65 EE=9.65
episode=1 PDR=33.60 EE=4.78
episode=2 PDR=26.81 EE=3.52
episode=3 PDR=23.24 EE=3.10
episode=4 PDR=19.10 EE=2.56
episode=5 PDR=19.27 EE=2.68
episode=6 PDR=17.92 EE=2.63
episode=7 PDR=16.91 EE=2.66
episode=8 PDR=15.30 EE=2.43
episode=9 PDR=16.31 EE=2.72
episode=10 PDR=16.68 EE=2.91
episode=11 PDR=15.57 EE=2.76
episode=12 PDR=14.63 EE=2.60
episode=13 PDR=14.56 EE=2.71
episode=14 PDR=15.68 EE=3.09
episode=15 PDR=14.45 EE=2.90
episode=16 PDR=12.71 EE=2.51
episode=17 PDR=12.73 EE=2.53
episode=18 PDR=12.27 EE=2.45
episode=19 PDR=12.11 EE=2.50
episode=20 PDR=13.21 EE=2.81
episode=21 PDR=12.68 EE=2.74
episode=22 PDR=12.68 EE=2.81
episode=23 PDR=12.62 EE=2.85
episode=24 PDR=12.22 EE=2.79
episode=25 PDR=11.65 EE=2.69
episode=26 PDR=11.05 EE=2.54
episode=27 PDR=12.54 EE=2.93
episode=28 PDR=11.93 EE=2.81
episode=29 PDR=10.57 EE=2.46
episode=30 PDR=9.85 EE=2.32
episode=31 PDR=8.55 EE=2.01
episode=32 PDR=8.94 EE=2.12
episode=33 PDR=8.97 EE=2.13
episode=34 PDR=8.79 EE=2.11
episode=35 PDR=10.09 EE=2.45
episode=36 PDR=10.56 EE=2.62
episode=37 PDR=10.40 EE=2.57
episode=38 PDR=9.82 EE=2.47
episode=39 PDR=10.55 EE=2.64
episode=40 PDR=11.18 EE=2.86
episode=41 PDR=11.93 EE=3.05
episode=42 PDR=11.66 EE=3.02
episode=43 PDR=10.98 EE=2.84
episode=44 PDR=9.78 EE=2.51
episode=45 PDR=9.38 EE=2.43
episode=46 PDR=8.97 EE=2.34
episode=47 PDR=9.55 EE=2.51
episode=48 PDR=9.46 EE=2.54
episode=49 PDR=9.58 EE=2.56
episode=50 PDR=9.95 EE=2.71
episode=51 PDR=10.43 EE=2.86
episode=52 PDR=10.51 EE=2.90
episode=53 PDR=10.13 EE=2.79
episode=54 PDR=9.80 EE=2.72
episode=55 PDR=9.97 EE=2.81
episode=56 PDR=9.32 EE=2.65
episode=57 PDR=9.99 EE=2.86
episode=58 PDR=8.71 EE=2.48
episode=59 PDR=8.98 EE=2.57
episode=60 PDR=10.16 EE=2.95
episode=61 PDR=9.51 EE=2.77
episode=62 PDR=9.76 EE=2.90
episode=63 PDR=9.75 EE=2.92
episode=64 PDR=10.54 EE=3.15
episode=65 PDR=11.00 EE=3.33
episode=66 PDR=10.82 EE=3.31
episode=67 PDR=10.35 EE=3.11
episode=68 PDR=8.88 EE=2.65
episode=69 PDR=9.39 EE=2.82
episode=70 PDR=9.51 EE=2.86
episode=71 PDR=9.42 EE=2.86
episode=72 PDR=8.81 EE=2.66
episode=73 PDR=9.36 EE=2.84
episode=74 PDR=9.26 EE=2.82
episode=75 PDR=9.25 EE=2.86
episode=76 PDR=8.57 EE=2.63
episode=77 PDR=8.87 EE=2.72
episode=78 PDR=10.05 EE=3.13
episode=79 PDR=9.38 EE=2.91
episode=80 PDR=8.29 EE=2.57
episode=81 PDR=7.92 EE=2.42
episode=82 PDR=9.60 EE=3.01
episode=83 PDR=8.62 EE=2.70
episode=84 PDR=8.46 EE=2.64
episode=85 PDR=8.78 EE=2.74
episode=86 PDR=8.70 EE=2.73
episode=87 PDR=8.51 EE=2.69
episode=88 PDR=8.61 EE=2.73
episode=89 PDR=8.54 EE=2.71
episode=90 PDR=8.54 EE=2.74
episode=91 PDR=8.92 EE=2.86
episode=92 PDR=8.25 EE=2.61
episode=93 PDR=8.66 EE=2.79
episode=94 PDR=8.25 EE=2.64
episode=95 PDR=8.84 EE=2.83
episode=96 PDR=9.87 EE=3.17
episode=97 PDR=7.93 EE=2.54
episode=98 PDR=8.46 EE=2.71
episode=99 PDR=8.29 EE=2.66
