episode=50, mum of sent packets=14222, num of received packets=9700, num of lost packets=4521, PDR=68.20, actual sim duration=1.00, parameter update time=0.00
episode=51, mum of sent packets=14303, num of received packets=9709, num of lost packets=4589, PDR=67.88, actual sim duration=1.00, parameter update time=0.00
episode=52, mum of sent packets=14277, num of received packets=9811, num of lost packets=4465, PDR=68.72, actual sim duration=1.00, parameter update time=0.00
episode=53, mum of sent packets=14294, num of received packets=9669, num of lost packets=4622, PDR=67.64, actual sim duration=1.54, parameter update time=0.00
episode=54, mum of sent packets=14313, num of received packets=9651, num of lost packets=4662, PDR=67.43, actual sim duration=1.01, parameter update time=0.00
episode=55, mum of sent packets=14048, num of received packets=9480, num of lost packets=4566, PDR=67.48, actual sim duration=0.99, parameter update time=0.00
episode=56, mum of sent packets=14292, num of received packets=9839, num of lost packets=4452, PDR=68.84, actual sim duration=1.00, parameter update time=0.00
episode=57, mum of sent packets=14294, num of received packets=9720, num of lost packets=4573, PDR=68.00, actual sim duration=1.00, parameter update time=0.00
episode=58, mum of sent packets=14300, num of received packets=9650, num of lost packets=4647, PDR=67.48, actual sim duration=1.00, parameter update time=0.00
episode=59, mum of sent packets=14332, num of received packets=9766, num of lost packets=4562, PDR=68.14, actual sim duration=1.00, parameter update time=0.00
episode=60, mum of sent packets=14260, num of received packets=9747, num of lost packets=4510, PDR=68.35, actual sim duration=1.00, parameter update time=0.00
episode=61, mum of sent packets=14382, num of received packets=9840, num of lost packets=4542, PDR=68.42, actual sim duration=1.01, parameter update time=0.00
episode=62, mum of sent packets=14313, num of received packets=9776, num of lost packets=4535, PDR=68.30, actual sim duration=1.01, parameter update time=0.00
episode=63, mum of sent packets=14284, num of received packets=9776, num of lost packets=4507, PDR=68.44, actual sim duration=1.01, parameter update time=0.00
episode=64, mum of sent packets=14326, num of received packets=9787, num of lost packets=4535, PDR=68.32, actual sim duration=1.01, parameter update time=0.00
episode=65, mum of sent packets=14369, num of received packets=9803, num of lost packets=4564, PDR=68.22, actual sim duration=1.01, parameter update time=0.00
episode=66, mum of sent packets=14386, num of received packets=9751, num of lost packets=4631, PDR=67.78, actual sim duration=1.01, parameter update time=0.00
