episode=34, mum of sent packets=4497, num of lost packets=powerloss:533+collided:436=969, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=58.89, Jain's Fairness Index=0.38, PDR=78.25
episode=35, mum of sent packets=4443, num of lost packets=powerloss:488+collided:414=902, MinEnergyEfficiency=0.97, MaxEnergyEfficiency=56.90, Jain's Fairness Index=0.39, PDR=79.54
episode=36, mum of sent packets=4411, num of lost packets=powerloss:541+collided:404=945, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=57.00, Jain's Fairness Index=0.40, PDR=78.39
episode=37, mum of sent packets=4475, num of lost packets=powerloss:505+collided:408=913, MinEnergyEfficiency=0.88, MaxEnergyEfficiency=65.30, Jain's Fairness Index=0.36, PDR=79.44
episode=38, mum of sent packets=4277, num of lost packets=powerloss:544+collided:376=920, MinEnergyEfficiency=0.92, MaxEnergyEfficiency=57.68, Jain's Fairness Index=0.39, PDR=78.30
episode=39, mum of sent packets=4469, num of lost packets=powerloss:498+collided:425=923, MinEnergyEfficiency=0.90, MaxEnergyEfficiency=65.95, Jain's Fairness Index=0.36, PDR=79.21
episode=40, mum of sent packets=4381, num of lost packets=powerloss:494+collided:419=913, MinEnergyEfficiency=0.84, MaxEnergyEfficiency=54.66, Jain's Fairness Index=0.38, PDR=79.02
episode=41, mum of sent packets=4503, num of lost packets=powerloss:521+collided:395=916, MinEnergyEfficiency=0.96, MaxEnergyEfficiency=51.01, Jain's Fairness Index=0.40, PDR=79.46
episode=42, mum of sent packets=4511, num of lost packets=powerloss:506+collided:416=922, MinEnergyEfficiency=0.97, MaxEnergyEfficiency=57.63, Jain's Fairness Index=0.38, PDR=79.34
episode=43, mum of sent packets=4388, num of lost packets=powerloss:513+collided:422=935, MinEnergyEfficiency=0.88, MaxEnergyEfficiency=59.82, Jain's Fairness Index=0.37, PDR=78.60
episode=44, mum of sent packets=4483, num of lost packets=powerloss:529+collided:448=977, MinEnergyEfficiency=1.28, MaxEnergyEfficiency=57.97, Jain's Fairness Index=0.38, PDR=78.07
episode=45, mum of sent packets=4566, num of lost packets=powerloss:531+collided:438=969, MinEnergyEfficiency=1.65, MaxEnergyEfficiency=51.83, Jain's Fairness Index=0.40, PDR=78.65
episode=46, mum of sent packets=4574, num of lost packets=powerloss:552+collided:434=986, MinEnergyEfficiency=1.48, MaxEnergyEfficiency=48.21, Jain's Fairness Index=0.43, PDR=78.36
episode=47, mum of sent packets=4449, num of lost packets=powerloss:518+collided:394=912, MinEnergyEfficiency=1.54, MaxEnergyEfficiency=55.73, Jain's Fairness Index=0.37, PDR=79.34
episode=48, mum of sent packets=4498, num of lost packets=powerloss:525+collided:413=938, MinEnergyEfficiency=1.35, MaxEnergyEfficiency=52.33, Jain's Fairness Index=0.38, PDR=78.97
episode=49, mum of sent packets=4542, num of lost packets=powerloss:527+collided:425=952, MinEnergyEfficiency=1.70, MaxEnergyEfficiency=50.10, Jain's Fairness Index=0.42, PDR=78.97
episode=50, mum of sent packets=4401, num of lost packets=powerloss:496+collided:439=935, MinEnergyEfficiency=1.73, MaxEnergyEfficiency=54.70, Jain's Fairness Index=0.38, PDR=78.66
episode=51, mum of sent packets=4497, num of lost packets=powerloss:518+collided:409=927, MinEnergyEfficiency=1.41, MaxEnergyEfficiency=66.17, Jain's Fairness Index=0.35, PDR=79.30
episode=52, mum of sent packets=4494, num of lost packets=powerloss:509+collided:387=896, MinEnergyEfficiency=1.61, MaxEnergyEfficiency=55.06, Jain's Fairness Index=0.38, PDR=80.00
episode=53, mum of sent packets=4415, num of lost packets=powerloss:522+collided:412=934, MinEnergyEfficiency=1.74, MaxEnergyEfficiency=51.00, Jain's Fairness Index=0.41, PDR=78.75
