episode=0, mum of sent packets=25069, num of received packets=8806, num of lost packets=16263, PDR=35.13, actual sim duration=4.07, parameter update time=0.89
episode=1, mum of sent packets=25129, num of received packets=8679, num of lost packets=16450, PDR=34.54, actual sim duration=4.03, parameter update time=0.69
episode=2, mum of sent packets=25288, num of received packets=8973, num of lost packets=16315, PDR=35.48, actual sim duration=3.63, parameter update time=0.68
episode=3, mum of sent packets=24970, num of received packets=9079, num of lost packets=15891, PDR=36.36, actual sim duration=4.01, parameter update time=0.68
episode=4, mum of sent packets=24989, num of received packets=8720, num of lost packets=16269, PDR=34.90, actual sim duration=3.81, parameter update time=0.68
episode=5, mum of sent packets=24972, num of received packets=8601, num of lost packets=16371, PDR=34.44, actual sim duration=3.99, parameter update time=0.67
episode=6, mum of sent packets=25068, num of received packets=8648, num of lost packets=16420, PDR=34.50, actual sim duration=3.76, parameter update time=0.67
episode=7, mum of sent packets=24783, num of received packets=8766, num of lost packets=16017, PDR=35.37, actual sim duration=4.00, parameter update time=0.69
episode=8, mum of sent packets=25111, num of received packets=8814, num of lost packets=16297, PDR=35.10, actual sim duration=3.74, parameter update time=0.67
episode=9, mum of sent packets=25153, num of received packets=8839, num of lost packets=16314, PDR=35.14, actual sim duration=4.04, parameter update time=0.68
episode=10, mum of sent packets=24764, num of received packets=8896, num of lost packets=15868, PDR=35.92, actual sim duration=3.76, parameter update time=0.67
episode=11, mum of sent packets=24802, num of received packets=8716, num of lost packets=16086, PDR=35.14, actual sim duration=4.09, parameter update time=0.68
episode=12, mum of sent packets=25179, num of received packets=8894, num of lost packets=16285, PDR=35.32, actual sim duration=3.77, parameter update time=0.67
episode=13, mum of sent packets=24638, num of received packets=8709, num of lost packets=15929, PDR=35.35, actual sim duration=4.03, parameter update time=0.67
episode=14, mum of sent packets=24828, num of received packets=8617, num of lost packets=16211, PDR=34.71, actual sim duration=3.82, parameter update time=0.67
episode=15, mum of sent packets=25042, num of received packets=8862, num of lost packets=16180, PDR=35.39, actual sim duration=3.81, parameter update time=0.67
episode=16, mum of sent packets=24893, num of received packets=8823, num of lost packets=16070, PDR=35.44, actual sim duration=4.12, parameter update time=0.66
episode=17, mum of sent packets=25105, num of received packets=8911, num of lost packets=16194, PDR=35.49, actual sim duration=3.69, parameter update time=0.67
